-56.0,-66.0,-71.0,-55.0,55.659029161581174,36.29469584778287
-56.0,-69.0,-88.0,-64.0,50.64229314456994,36.18004568178539
-61.0,-68.0,-82.0,-74.0,45.62020661672842,36.065273237758646
-67.0,-73.0,-88.0,-73.0,40.521188666290705,35.948742638128316
-72.0,-77.0,-93.0,-78.0,35.694841632414025,35.83844353464233
-49.0,-56.0,-66.0,-51.0,61.50091926458693,38.08691210747827
-53.0,-53.0,-60.0,-51.0,61.41834503139675,42.360571788005444
-52.0,-57.0,-55.0,-63.0,61.25010443904335,51.06792532544855
-58.0,-62.0,-55.0,-73.0,61.15598544069268,55.939088560520844
-69.0,-93.0,-63.0,-93.0,61.08973781379357,59.36775873985032
-75.0,-93.0,-63.0,-74.0,61.082027251337024,59.76682174003576
-71.0,-75.0,-62.0,-75.0,61.00111192428071,63.95462411729627
-76.0,-75.0,-70.0,-93.0,60.91415273013999,68.45522904067384
-93.0,-76.0,-73.0,-88.0,60.8193488364313,73.36183934142846
-74.0,-82.0,-82.0,-76.0,38.63669377879727,35.25973812943849
-68.0,-77.0,-82.0,-69.0,43.79629329763784,35.447734755738225
-62.0,-76.0,-80.0,-63.0,48.93340095494387,35.63491186170117
-53.0,-66.0,-79.0,-69.0,53.990129496071454,35.819160251775905
-58.0,-93.0,-73.0,-58.0,59.39192626317664,36.01598164497526
-93.0,-81.0,-70.0,-93.0,55.793620516560374,71.10410651835782
-70.0,-93.0,-93.0,-93.0,48.92737231610249,71.03749316684727
-93.0,-81.0,-93.0,-93.0,48.50265964508128,71.03337278910864
-77.0,-78.0,-93.0,-93.0,44.284633258251695,70.99245133276536
-93.0,-87.0,-93.0,-93.0,40.001212402860574,70.95089544840907
-93.0,-89.0,-93.0,-93.0,30.029012257715785,70.85414950304589
-66.0,-56.0,-93.0,-44.0,63.23434073783345,33.68013510040589
-67.0,-93.0,-93.0,-60.0,63.436850604060055,24.74310135374258
-74.0,-82.0,-78.0,-66.0,63.576637274964014,18.574126919990643
-93.0,-93.0,-93.0,-93.0,63.649505048153365,15.358373696875491
-56.0,-66.0,-71.0,-55.0,55.659029161581174,36.29469584778287
-56.0,-69.0,-88.0,-64.0,50.64229314456994,36.18004568178539
-61.0,-68.0,-82.0,-74.0,45.62020661672842,36.065273237758646
-67.0,-73.0,-88.0,-73.0,40.521188666290705,35.948742638128316
-72.0,-77.0,-93.0,-78.0,35.694841632414025,35.83844353464233
-72.0,-77.0,-93.0,-67.0,63.140333919029985,13.859011112844875
-77.0,-68.0,-77.0,-63.0,63.52081986320871,26.844416226493856
